id,change_date,store_code,old_plan_name,old_plan_speed,old_plan_quota,old_plan_price,new_plan_name,new_plan_speed,new_plan_quota,new_plan_price,number_of_movements
18862,12/1/2019,TEOME12036,Super ,30,140,120,Super ,30,250,210,1
18863,12/1/2019,TEODK070141,Super ,30,140,120,Super ,30,250,210,1
18864,12/1/2019,TDOCA03022,Super ,30,250,210,Super ,30,600,500,1
18865,12/1/2019,101-TEGCCABCCNCC,Super ,30,140,120,Mega ,70,250,310,1
18866,12/1/2019,TEOSU11016,Super ,30,140,120,Super ,30,250,210,2
18867,12/2/2019,TEOKS09031,Super ,30,140,120,Super ,30,250,210,5
18868,12/2/2019,TDOLU14021,Super ,30,140,120,Super ,30,250,210,6
18869,12/2/2019,TEOSH07032,Super ,30,250,210,Super ,30,600,500,1
18870,12/2/2019,TRMF00049,Super ,30,140,120,Super ,30,250,210,2
18871,12/2/2019,TEOAT13011,Super ,30,250,210,Super ,30,140,120,3
18872,12/2/2019,TEOSS11023,Super ,30,140,120,Mega ,70,250,310,1
18873,12/2/2019,TEOSU110111,Super ,30,250,210,Super ,30,140,120,2
18874,12/2/2019,TREX00126,Super ,30,250,210,Super ,30,140,120,1
18875,12/2/2019,WSFKS0903001,Super ,30,250,210,Super ,30,140,120,1
18876,12/5/2019,DEFDO0705001,Super ,30,250,210,Super ,30,140,120,1
18877,12/5/2019,TEOAS14034,Super ,30,140,120,Super ,30,250,210,2
18878,12/5/2019,TDOCA01011,Mega ,70,140,220,Ultra ,100,250,410,1
18879,12/5/2019,TEOGH08012,Super ,30,250,210,Super ,30,140,120,1
18880,12/5/2019,TEECA01011,Super ,30,140,120,Super ,30,250,210,8
18881,12/5/2019,TEOAL05023,Super ,30,250,210,Super ,30,600,500,1
18882,12/8/2019,101-TEGCCABCCVVS,Super ,30,100,110,Super ,30,140,120,1
18883,12/8/2019,TREX00007,Super ,30,140,120,Super ,30,250,210,2
18884,12/8/2019,TEOSH07031,Super ,30,600,500,Super ,30,250,210,1
18885,12/8/2019,TEOCA01024,Super ,30,140,120,Super ,30,250,210,1
18886,12/8/2019,TEOBS12014,Super ,30,250,210,Super ,30,140,120,1
18887,12/8/2019,TEODK07029,Super ,30,250,210,Super ,30,140,120,1
18888,12/8/2019,TEODO07054,Super ,30,250,210,Super ,30,140,120,1
18889,12/8/2019,TEOFA12021,Super ,30,250,210,Super ,30,140,120,1
18890,12/2/2019,TRMF00081,Super ,30,140,120,Super ,30,250,210,1
18891,12/2/2019,TREX00172,Super ,30,250,210,Super ,30,140,120,1
18892,12/2/2019,TDOAL07031,Super ,30,250,210,Super ,30,600,500,2
18893,12/2/2019,TEOAT13012,Super ,30,140,120,Super ,30,250,210,1
18894,12/2/2019,TEOCA01017,Super ,30,250,210,Super ,30,250,210,1
18895,12/2/2019,TEOSU11016,Super ,30,250,210,Super ,30,600,500,1
18896,12/2/2019,TEOCA03028,Super ,30,140,120,Super ,30,250,210,1
18897,12/2/2019,101-TEGCCABCCNCC,Super ,30,600,500,Super ,30,250,210,1
18898,12/3/2019,TEOGH08017,Super ,30,250,210,Super ,30,140,120,1
18899,12/3/2019,TREX00115,Super ,30,140,120,Super ,30,250,210,1
18900,12/3/2019,TDOCA03031,Super ,30,250,210,Super ,30,600,500,4
18901,12/3/2019,TEODK07012,Super ,30,250,210,Super ,30,140,120,1
18902,12/3/2019,TDORS11033,Super ,30,140,120,Super ,30,250,210,1
18903,12/3/2019,TEOCA01014,Super ,30,140,120,Mega ,70,140,220,1
18904,12/3/2019,TEOSH07034,Super ,30,250,210,Super ,30,140,120,2
18905,12/3/2019,TEOSO130210,Super ,30,140,120,Super ,30,250,210,1
18906,12/3/2019,TEOAL05029,Mega ,70,140,220,Mega ,70,250,310,1
18907,12/5/2019,101-001,Super ,30,600,500,Super ,30,250,210,2
18908,12/5/2019,TEOCA03023,Super ,30,140,120,Mega ,70,250,310,1
18909,12/5/2019,TREX00104,Super ,30,140,120,Super ,30,250,210,1
18910,12/5/2019,TEORS11036,Super ,30,250,210,Super ,30,600,500,1
18911,12/5/2019,TEOFA12022,Super ,30,140,120,Super ,30,250,210,2
18912,12/8/2019,TEOGI04031,Super ,30,140,120,Super ,30,250,210,6
18913,12/8/2019,TEOCA010112,Super ,30,140,120,Mega ,70,250,310,1
18914,12/8/2019,TEOQU03011,Super ,30,140,120,Super ,30,250,210,2
18915,12/8/2019,TDOAL08011,Super ,30,140,120,Super ,30,250,210,2
18916,12/2/2019,TEOMO08027,Super ,30,140,120,Super ,30,250,210,2
18917,12/2/2019,CPFMO0803001,Super ,30,140,120,Super ,30,250,210,1
18918,12/2/2019,TEODO07053,Super ,30,250,210,Super ,30,140,120,1
18919,12/2/2019,TEOMO08026,Super ,30,140,120,Super ,30,250,210,1
18920,12/2/2019,TEOCA02033,Super ,30,250,210,Super ,30,600,500,1
18921,12/3/2019,TRSEX00003,Super ,30,250,210,Super ,30,140,120,1
18922,12/3/2019,TDOGI04044,Super ,30,140,120,Super ,30,250,210,1
18923,12/3/2019,101-TEGCCABCCNCC,Super ,30,250,210,Super ,30,140,120,131
18924,12/3/2019,TEECA03023,Super ,30,140,120,Super ,30,250,210,1
18925,12/3/2019,TEECA03023,Super ,30,600,500,Mega ,70,250,310,2
18926,12/3/2019,101-TEGCCABCCNCC,Super ,30,600,500,Super ,30,250,210,7
18927,12/3/2019,TEECA02022,Super ,30,140,120,Super ,30,250,210,3
18928,12/3/2019,TEOGI04017,Super ,30,140,120,Super ,30,250,210,3
18929,12/3/2019,Btech004,Super ,30,250,210,Super ,30,140,120,1
18930,12/3/2019,TEECA02022,Super ,30,250,210,Super ,30,140,120,1
18931,12/8/2019,101-TEGCCABCCNCC,Super ,30,250,210,Super ,30,140,120,106
18932,12/8/2019,101-TEGCCABCCNCC,Super ,30,600,500,Super ,30,140,120,3
18933,12/8/2019,TDOCA01021,Super ,30,250,210,Super ,30,600,500,1
18934,12/8/2019,TEOIS10017,Super ,30,140,120,Super ,30,250,210,2
18935,12/8/2019,TEOSO13029,Super ,30,250,210,Super ,30,140,120,1
18936,12/8/2019,TEECA02011,Super ,30,140,120,Super ,30,140,120,3
