TEOIS10011,Super ,30,140,120,Super ,30,250,210,3
TEOAT13012,Super ,30,140,120,Super ,30,250,210,1
TDODK07011,Super ,30,140,120,Super ,30,250,210,2
TEODO07052,Super ,30,140,120,Super ,30,250,210,2
ASFQU0803002,Super ,30,140,120,Super ,30,250,210,1
TREX00053,Super ,30,140,120,Super ,30,250,210,1
TDPAL05021,Super ,30,140,120,Super ,30,250,210,1
TEOCA02015,Super ,30,140,120,Super ,30,250,210,1
TREX00094,Super ,30,140,120,Super ,30,250,210,1
TEOSH07046,Super ,30,140,120,Super ,30,250,210,2
TEOKS09038,Super ,30,250,210,Super ,30,600,500,1
Btech001,Super ,30,140,120,Super ,30,250,210,1
TEOSS11021,Mega ,70,250,310,Super ,30,600,500,1
TRSEX00005,Super ,30,140,120,Super ,30,250,210,1
TEOCA01011,Super ,30,140,120,Super ,30,250,210,3
TEOCA01011,Super ,30,140,120,Super ,30,250,210,2
TEOCA02015,Super ,30,140,120,Super ,30,250,210,1
TEONS10031,Super ,30,140,120,Super ,30,250,210,1
TRMF00053,Super ,30,140,120,Super ,30,250,210,1
TDOGI06011,Super ,30,140,120,Super ,30,250,210,2
TDOCA01011,Mega ,70,250,310,Super ,30,600,500,1
TEOAT13013,Super ,30,140,120,Super ,30,250,210,1
TDOGI05011,Super ,30,140,120,Super ,30,250,210,7
TEOSH07032,Super ,30,140,120,Super ,30,250,210,1
TEOQU08038,Super ,30,140,120,Super ,30,250,210,2
TDOCA03032,Super ,30,140,120,Super ,30,250,210,2
101-DIS,Super ,30,140,120,Super ,30,250,210,1
TRDSL00733,Super ,30,140,120,Super ,30,250,210,1
TEOCA02036,Super ,30,140,120,Super ,30,250,210,1
TEEGI05011,Super ,30,140,120,Super ,30,250,210,6
TEOSS11021,Super ,30,140,120,Super ,30,250,210,1
TEOCA01031,Super ,30,140,120,Super ,30,250,210,1
TRMF00058,Super ,30,140,120,Super ,30,250,210,1
101-001,Super ,30,250,210,Ultra ,100,600,700,3
CPFMO0803004,Super ,30,140,120,Super ,30,250,210,1
TDOCA01011,Super ,30,140,120,Mega ,70,250,310,1
101-001,Super ,30,250,210,Mega ,70,250,310,7
TEEGI06011,Super ,30,140,120,Super ,30,250,210,2
TEOKS09032,Super ,30,140,120,Super ,30,250,210,6
TDOAL07022,Super ,30,140,120,Super ,30,250,210,3
TEOIS10012,Super ,30,140,120,Super ,30,250,210,2
TEOSU11015,Super ,30,140,120,Super ,30,250,210,1
TEOAL05018,Super ,30,140,120,Super ,30,250,210,1
101-001,Super ,30,600,500,Ultra ,100,600,700,1
TEOAL05014,Super ,30,140,120,Super ,30,250,210,1
101-001,Mega ,70,140,220,Mega ,70,250,310,1
TEOCA03027,Super ,30,250,210,Super ,30,600,500,1
TDOGI04044,Super ,30,140,120,Super ,30,250,210,3
DEFCA0201001,Super ,30,140,120,Super ,30,250,210,1
TEOCA03022,Super ,30,250,210,Mega ,70,250,310,1
101-001,Mega ,70,140,220,Mega ,70,250,310,3
TREX00046,Super ,30,140,120,Super ,30,250,210,2
FCFKCA02025,Super ,30,140,120,Super ,30,250,210,1
TDORS11033,Super ,30,250,210,Ultra ,100,600,700,1
